,mutual_information,mutual_information_rank,tree_importance,tree_importance_rank,combined_rank,source_variable
INTENT15__4,0.005431503279822669,279.0,0.0003603520941263972,409.0,344.0,INTENT15
RX17CAT1__frequency,0.006987546511032061,232.0,0.00025375676427023364,460.0,346.0,RX17CAT1
INJPOISAD__3,0.004803409491935806,301.0,0.00038787798372857696,394.0,347.5,INJPOISAD
TOTCHRON__4,0.0009039739971390404,541.0,0.0012712371926566022,155.0,348.0,TOTCHRON
EDINFO__2,0.0016640117973503177,490.0,0.0009806706618180434,209.0,349.5,EDINFO
RX15CAT1__frequency,0.006959566231247827,233.0,0.0002391863765710678,467.0,350.0,RX15CAT1
GPMED14__1,0.007822139458300459,214.0,0.00021363405879573866,488.0,351.0,GPMED14
CONTSUB13__6,0.008058950479175486,207.0,0.000198105390691062,497.0,352.0,CONTSUB13
VMONTH__4,0.001605810672104635,494.0,0.0009759670187441607,211.0,352.5,VMONTH
RX8V2C2__frequency,0.006118106352962727,257.0,0.0002669458371827775,449.0,353.0,RX8V2C2
LFT__Yes,0.0031817176193014163,378.0,0.000597049127041641,328.0,353.0,LFT
SURGDAY__Missing,0.002806006431941066,399.0,0.0006455833749278816,311.0,355.0,SURGDAY
CTOTHER__Yes,0.0024463595230341806,426.0,0.0006764894120692936,295.0,360.5,CTOTHER
VITALSD__Missing,0.0023178059832769105,437.0,0.000710246289055276,285.0,361.0,VITALSD
RFV53D__frequency,0.0,601.0,0.0018673225699503363,122.0,361.5,RFV53D
IMMEDR__1,0.002627640447603552,418.0,0.0006506922350281124,306.0,362.0,IMMEDR
DRUGID16__frequency,0.006799792206274802,239.0,0.00021413190642742747,486.0,362.5,DRUGID16
MED16__frequency,0.00896064360791815,193.0,0.00015034463156647258,532.0,362.5,MED16
MED14__frequency,0.006558638708538345,247.0,0.00022224632429240554,480.0,363.5,MED14
SEEN72__Missing,0.0018964981794236113,471.0,0.0007953276511607489,257.0,364.0,SEEN72
RX2V2C3__064,0.008185603686464038,205.0,0.0001637307108855972,524.0,364.5,RX2V2C3
ETHUN__1,0.0023454282693127215,432.0,0.0006677757563479489,299.0,365.5,ETHUN
IMBED__Missing,0.004857907951019591,298.0,0.00030888514294489166,433.0,365.5,IMBED
PRESCR12__1,0.011667289891552857,156.0,0.00010259864788028326,577.0,366.5,PRESCR12
PRESCR7__5,0.0038156075210515894,346.0,0.000390836586411868,391.0,368.5,PRESCR7
RX16V2C1__frequency,0.006882898518289604,236.0,0.00019025147001608213,503.0,369.5,RX16V2C1
IMMEDR__Missing,0.0,601.0,0.0014588089812871822,139.0,370.0,IMMEDR
RFID__1,0.0,601.0,0.0014400173220674645,140.0,370.5,RFID
DRUGID17__frequency,0.00741540424948095,221.0,0.0001667187926301347,520.0,370.5,DRUGID17
GPMED6__2,0.0,601.0,0.0014137825725706143,144.0,372.5,GPMED6
ELECTROL__Yes,0.002097404998185448,455.0,0.0006720699771453467,297.0,376.0,ELECTROL
INCSHX__1,0.0,601.0,0.0013198104745198278,151.0,376.0,INCSHX
SEX__2,0.0,601.0,0.0012733693791247439,154.0,377.5,SEX
RX17V2C1__frequency,0.006384100357618827,252.0,0.0001853598244842938,505.0,378.5,RX17V2C1
ABG__Yes,0.0016714542252214137,489.0,0.0007719967219161657,268.0,378.5,ABG
TOTCHRON__5,0.0,601.0,0.0012651656139647794,157.0,379.0,TOTCHRON
COMSTAT16__1,0.007945636654064892,209.0,0.00013561479794284778,549.0,379.0,COMSTAT16
COMSTAT13__1,0.0102820239349668,170.0,8.880633241990931e-05,589.0,379.5,COMSTAT13
FASTTRAK__2,0.0,601.0,0.0012451062886581024,161.0,381.0,FASTTRAK
DEPRN__Yes,0.0012563313056659364,520.0,0.0008330740479059878,244.0,382.0,DEPRN
EPISODE__Missing,0.0009316046383349708,539.0,0.0009318797719666748,227.0,383.0,EPISODE
RESIDNCE__Missing,0.003383750446614764,371.0,0.00038044947617788677,396.0,383.5,RESIDNCE
PELVIC__Yes,0.0025332762680181364,421.0,0.0005032309438520059,346.0,383.5,PELVIC
ZONENURS__Missing,0.0035510865470662623,362.0,0.0003608241076825394,407.0,384.5,ZONENURS
CAUSE3__frequency,0.005538718825296884,277.0,0.00020573500633396042,492.0,384.5,CAUSE3
INTENT15__1,0.00427583982201063,329.0,0.00029388462749364315,441.0,385.0,INTENT15
RACERETH__3,0.0016933232003375487,486.0,0.0007202081540368281,284.0,385.0,RACERETH
RX3V3C2__frequency,0.002633684774255407,417.0,0.00048291993636128414,353.0,385.0,RX3V3C2
GPMED3__3,0.0036793204718981176,353.0,0.0003326121679379721,422.0,387.5,GPMED3
RX1V2C3__064,0.003840069341116248,343.0,0.00031461791779705906,432.0,387.5,RX1V2C3
TACHYCARDIC_FLAG__Yes,0.0,601.0,0.0011148860929793367,175.0,388.0,TACHYCARDIC_FLAG
RX8CAT2__frequency,0.003494172268233786,367.0,0.00034505638197289586,414.0,390.5,RX8CAT2
EHRINSE__1,0.00303570104967843,383.0,0.00037905947260815335,398.0,390.5,EHRINSE
PAYPRIV__Yes,0.0,601.0,0.001070474805896846,183.0,392.0,PAYPRIV
OTHIMAGE__Yes,0.0023153052519957473,438.0,0.0004990086936241807,347.0,392.5,OTHIMAGE
CONTSUB17__6,0.006394257056088648,251.0,0.00014917127208138954,534.0,392.5,CONTSUB17
PHYSPRACTRIA__2,0.0,601.0,0.001058969615832299,186.0,393.5,PHYSPRACTRIA
RX3V1C2__115,0.005825867225610404,267.0,0.00016527257113037265,521.0,394.0,RX3V1C2
IMBED__2,0.0,601.0,0.0010569554351217818,187.0,394.0,IMBED
BEDREG__2,0.000554343766842047,572.0,0.0009440596216237773,218.0,395.0,BEDREG
TOTCHRON__2,0.0,601.0,0.0010324506084410296,190.0,395.5,TOTCHRON
ZONENURS__2,0.0,601.0,0.0010280714086196097,192.0,396.5,ZONENURS
PRESCR14__5,0.006734478862172377,243.0,0.00013149247838289407,551.0,397.0,PRESCR14
PAINSCALE__0,0.0,601.0,0.0010115863554419407,197.0,399.0,PAINSCALE
AGE_GROUP__child_2_12,0.0026220442708910774,419.0,0.00041357652548195295,380.0,399.5,AGE_GROUP
KIOSELCHK__1,0.0,601.0,0.000993059552087744,202.0,401.5,KIOSELCHK
PAYTYPER__1,0.0,601.0,0.0009910397846710532,203.0,402.0,PAYTYPER
PHYSASST__Yes,0.0003916554978806719,579.0,0.0009231869643264931,229.0,404.0,PHYSASST
CONTSUB3__4,0.003637870878965499,354.0,0.00025819363712461016,457.0,405.5,CONTSUB3
PRESCR1__Missing,0.0029963525459399953,387.0,0.0003306372727658269,425.0,406.0,PRESCR1
RX3V3C3__203,0.005074574935448828,290.0,0.00016466064399174585,523.0,406.5,RX3V3C3
RX5V1C2__040,0.006225469738632139,253.0,0.00012336120545159882,560.0,406.5,RX5V1C2
GPMED5__2,0.0,601.0,0.0009742036285355966,214.0,407.5,GPMED5
RX3CAT3__204,0.005151259607569569,289.0,0.00016065238169355153,526.0,407.5,RX3CAT3
AGER__2,0.0013005946805779711,515.0,0.0006661846923118583,300.0,407.5,AGER
RX5V1C2__122,0.0019008221443768125,470.0,0.0004920883607838301,348.0,409.0,RX5V1C2
RX16CAT1__frequency,0.0044472885845512344,321.0,0.00019487215716572977,499.0,410.0,RX16CAT1
VMONTH__5,0.0013287340776630963,513.0,0.0006483967578318661,308.0,410.5,VMONTH
PRDIAG2__Yes,0.007958388337138134,208.0,6.513828444604103e-05,614.0,411.0,PRDIAG2
CASTSPLINT__Yes,0.0028753911096832674,395.0,0.00032765726980105414,428.0,411.5,CASTSPLINT
PRESCR2__2,0.003933500550655111,340.0,0.00021687799494389908,484.0,412.0,PRESCR2
PREGTEST__Yes,0.0,601.0,0.000933472496640188,226.0,413.5,PREGTEST
CONTSUB4__2,0.0028890250463813327,394.0,0.00030628309842943514,434.0,414.0,CONTSUB4
RACER__3,0.0019942409121420646,462.0,0.0004471824384418058,367.0,414.5,RACER
COMSTAT17__1,0.005910392751651505,264.0,0.0001106836697220811,566.0,415.0,COMSTAT17
MED__No,0.0018084348938989248,479.0,0.0004894311786602316,352.0,415.5,MED
GPMED7__2,0.0005057767355807208,573.0,0.0007931308602480528,259.0,416.0,GPMED7
VMONTH__10,0.0,601.0,0.0008861471130629267,232.0,416.5,VMONTH
CONTSUB14__6,0.006887727102737884,235.0,7.860716438650006e-05,598.0,416.5,CONTSUB14
ADVTRIAG__2,0.0,601.0,0.0008785878425256918,235.0,418.0,ADVTRIAG
AGE_GROUP__infant_0_1,0.004368828037965677,325.0,0.00018143440664510795,511.0,418.0,AGE_GROUP
PRESCR8__5,0.0029048391837269705,393.0,0.0002838452217720319,444.0,418.5,PRESCR8
SUTURE__Yes,0.005641160635556863,276.0,0.00012017055480520374,562.0,419.0,SUTURE
VDAYR__3,0.0,601.0,0.0008691132456973075,238.0,419.5,VDAYR
RX16V1C1__frequency,0.0031999726106903825,376.0,0.0002455933134303708,464.0,420.0,RX16V1C1
COMSTAT14__1,0.00611970592121347,256.0,9.401400509575196e-05,585.0,420.5,COMSTAT14
EDPRIM__Missing,0.0009629202054701747,537.0,0.0006507651240377012,305.0,421.0,EDPRIM
HYPOTENSIVE_FLAG__Yes,0.0013642747008928424,509.0,0.0005798318790073823,333.0,421.0,HYPOTENSIVE_FLAG
DASHBORD__2,0.0010049729932173346,533.0,0.0006471945532459455,309.0,421.0,DASHBORD
BAC__Yes,0.0,601.0,0.0008392525944589058,243.0,422.0,BAC
PRESCR1__5,0.0,601.0,0.0008319441329571176,245.0,423.0,PRESCR1
ARREMS__Missing,0.0,601.0,0.0008228496645406467,248.0,424.5,ARREMS
DIABTYP0__Yes,0.0004483129637504746,578.0,0.000760651341454227,273.0,425.5,DIABTYP0
RACERETH__2,0.0,601.0,0.0008118269463416095,251.0,426.0,RACERETH
RX6V1C2__040,0.00464722395465933,310.0,0.00014267137097279873,542.0,426.0,RX6V1C2
ASTHMA__Yes,0.0,601.0,0.000801809118676065,252.0,426.5,ASTHMA
OTHRTEST__Yes,0.0,601.0,0.0007991897441101353,253.0,427.0,OTHRTEST
VDAYR__1,0.0,601.0,0.0007989416845949911,254.0,427.5,VDAYR
PRESCR5__5,0.0017651297886507322,482.0,0.0004272535271512767,373.0,427.5,PRESCR5
AGE_GROUP__adolescent_13_17,0.002684650438504743,411.0,0.0002799469611111523,446.0,428.5,AGE_GROUP
GPMED7__3,0.004618311892350402,313.0,0.00014056950377932563,544.0,428.5,GPMED7
CONTSUB6__4,0.005537404140557589,278.0,9.627095413591691e-05,583.0,430.5,CONTSUB6
EXPSPACE__Missing,0.0,601.0,0.0007922367766049529,261.0,431.0,EXPSPACE
OSA__Yes,0.00015312355064667216,588.0,0.0007524268943890352,275.0,431.5,OSA
PRESCR3__3,0.007412627425236629,222.0,4.785444372756307e-05,642.0,432.0,PRESCR3
RX3V1C2__218,0.005707158235203513,273.0,8.354151951762474e-05,593.0,433.0,RX3V1C2
RACERFL__Yes,0.0,601.0,0.0007856939965483957,267.0,434.0,RACERFL
CONTSUB6__7,0.007847657150543697,213.0,4.03584258301953e-05,656.0,434.5,CONTSUB6
ETHNICFL__Yes,0.0,601.0,0.0007703008280766058,270.0,435.5,ETHNICFL
PAYTYPER__Missing,0.0,601.0,0.0007629013361830566,272.0,436.5,PAYTYPER
COMSTAT5__2,0.00404432218430828,335.0,0.00014332628814228845,540.0,437.5,COMSTAT5
SURGDAY__6,0.0,601.0,0.0007537292820145612,274.0,437.5,SURGDAY
RESIDNCE__2,0.0,601.0,0.0007290348967121572,279.0,440.0,RESIDNCE
EDINFO__Missing,0.0014671953303702079,504.0,0.0004230904788268232,376.0,440.0,EDINFO
PRESCR2__5,0.0,601.0,0.0007249255788274102,280.0,440.5,PRESCR2
EMRED__2,0.0,601.0,0.000722728504861803,281.0,441.0,EMRED
INCPHYS__Missing,0.0010105972103762184,532.0,0.0004915748805973251,350.0,441.0,INCPHYS
VMONTH__7,0.0,601.0,0.0007204334365572495,283.0,442.0,VMONTH
EPISODE__2,2.28277494380702e-05,597.0,0.0007019967185737157,288.0,442.5,EPISODE
VMONTH__6,0.0,601.0,0.0007094385739687328,286.0,443.5,VMONTH
GPMED14__2,0.005323681705295513,284.0,7.533805616564175e-05,604.0,444.0,GPMED14
VDAYR__7,0.0007256120929830523,555.0,0.0005623106791964105,335.0,445.0,VDAYR
VMONTH__3,0.0,601.0,0.0006981462478152505,289.0,445.0,VMONTH
PAINSCALE__8,0.0010180881210715143,530.0,0.00046363939563891064,362.0,446.0,PAINSCALE
EXPSPACE__1,0.0,601.0,0.0006824771420039772,293.0,447.0,EXPSPACE
CONTSUB16__6,0.0039104842047616994,341.0,0.00012780688581231803,556.0,448.5,CONTSUB16
VDAYR__4,0.0,601.0,0.0006740271719377836,296.0,448.5,VDAYR
