source_variable,mutual_information,tree_importance
MED11,0.014182405565321021,0.0007658039535267373
DIABTYP0,0.0004483129637504746,0.000760651341454227
OSA,0.00015312355064667216,0.0007524268943890352
PRESCR8,0.018182895255556053,0.0007455458833452095
OTHPROC,0.004485475386158511,0.0007440019461316632
RX6V1C2,0.02644650617081301,0.0007108856722288854
RX10V1C1,0.021740196966505643,0.0006892732948576919
MED13,0.013908295733605858,0.0006857448381216647
CTOTHER,0.0024463595230341806,0.0006764894120692936
ELECTROL,0.002097404998185448,0.0006720699771453467
ALZHD,0.004937412670140473,0.0006707232836947746
PAYDK,0.0,0.0006660897137295043
RX9V3C1,0.005279590541721779,0.0006660026990539594
DDIMER,0.003570318575473852,0.000654839817491818
NEBUTHER,0.004183745709733566,0.0006499986341848707
COVIDANTIBODY,0.0,0.0006447353649761401
RX12V1C1,0.014882421417024005,0.0006379550208474462
ETHIM,0.0,0.000633914457705662
ESRD,0.009074407244696214,0.0006288865208064149
RNLPN,0.0,0.0006235432367319209
NURSEPR,0.0,0.0006215520012260524
COMSTAT5,0.02101608625434448,0.0006212346638709731
HPE,0.003934524561162611,0.0006190568924046289
RX7CAT2,0.005204089100164788,0.0006093248858369064
SUBSTAB,0.0,0.0006022887982311473
RX13V1C1,0.01158457699925819,0.0005997836413878116
LFT,0.0031817176193014163,0.000597049127041641
PAYOTH,0.0002530326863003918,0.0005856725183320591
ETOHAB,0.006734688532437749,0.0005802405001246278
HYPOTENSIVE_FLAG,0.0013642747008928424,0.0005798318790073823
RX7V1C2,0.013266906192548333,0.0005778645941954985
RX3CAT3,0.007237171914210361,0.0005733822163811808
GPMED12,0.006631900244801869,0.0005719018757670609
RX1CAT3,0.012041537928338286,0.0005649896841624226
RX8V3C1,0.013546162055331212,0.0005582245079223007
RX13V2C1,0.005972686085360834,0.0005374570404906668
HHSMUE,0.0,0.000523257926733274
ATTPHYS,0.00879939181055378,0.0005125711522540777
RX1V2C3,0.013596349188939039,0.0005032356543524843
PELVIC,0.0025332762680181364,0.0005032309438520059
OTHIMAGE,0.0023153052519957473,0.0004990086936241807
RX11V3C1,0.004778909179115276,0.0004917125798894776
CONTSUB11,0.02336392531363085,0.0004900807781305043
RX2CAT3,0.0040378830251111,0.000489734958213929
MED,0.0018084348938989248,0.0004894311786602316
RX3V3C2,0.002633684774255407,0.00048291993636128414
PRESCR9,0.017973440609059255,0.0004801080938856258
RX2V2C3,0.016727860293336727,0.0004745454984500525
RX6CAT2,0.00704169183753911,0.0004722418608841966
RX3V3C3,0.007049309372482604,0.00046989029709670026
RX6V2C2,0.006840393977722181,0.00046980676921594443
RX4V3C2,0.0,0.0004653053937949431
PRESCR11,0.0032196117798688473,0.0004603763786442458
CONTSUB12,0.010843990187873409,0.00045872035498301675
RX15V1C1,0.015273234522590995,0.0004538244760381196
RX3V1C3,0.007019368835395001,0.0004424085546814368
RX2V3C3,0.00611573342812366,0.00043210032046646336
RX14V1C1,0.009822191157500937,0.00042920824557510847
CONTSUB10,0.01475549338831983,0.0004271010276038143
RX12CAT1,0.01169845678203485,0.00042501575660975575
RX14V2C1,0.006542341952587183,0.00041986871620122094
RX3V2C3,0.0017447915011450377,0.0004126579875228568
RX12V3C1,0.009116901272675948,0.0004103721819447191
RX7V2C2,0.004867388066087441,0.0004065440241525387
RX6V3C2,0.0057233603448050285,0.0004048393279680078
RX8V1C2,0.02731551309564262,0.0004002012909470235
CONTSUB8,0.01822233264315032,0.00039748588180285637
RX13CAT1,0.013519663862483489,0.00039284604948777203
OSTPRSIS,0.007299713077526526,0.000390815717927549
DRUGID12,0.013953907788348818,0.0003793906087094298
PRESCR10,0.015463268722838652,0.0003771315308839306
RX14CAT1,0.008606197946195326,0.00037416724997241984
HIVTEST,0.0,0.0003739922668617718
OTHCX,0.009258130664081765,0.0003717691374340567
DRUGID13,0.011288824223832483,0.0003503487619489136
BLADCATH,3.6928690219095728e-06,0.0003487395626386593
RX8CAT2,0.003494172268233786,0.00034505638197289586
RX2V1C3,0.003984656286216914,0.00034305282266412193
RX5V3C2,0.0013326680806260427,0.0003417681945733012
RX10V3C1,0.0097915493867613,0.0003393379578355744
MED12,0.012301084725276246,0.00033811861149347726
RX17V1C1,0.025714669464971696,0.00033406953457742057
DRUGID15,0.01175836936233865,0.0003303869608984506
RX15V2C1,0.010763688639403357,0.00032996623706871487
CASTSPLINT,0.0028753911096832674,0.00032765726980105414
GPMED13,0.009955569828962618,0.00030640078126286947
GPMED14,0.0148186872358671,0.00030381999816868365
CONTSUB15,0.011639802803828259,0.0002993633242219775
COMSTAT11,0.014611351049072185,0.0002985772143969148
RX13V3C1,0.009337652123028173,0.0002934287197498297
RX1V1C3,0.002925233125660842,0.00027822495552054494
MED17,0.007207652950400822,0.0002741418891003091
RX8V2C2,0.006118106352962727,0.0002669458371827775
FEVER_FLAG,0.007382602217609113,0.00026284296813576394
PRESCR13,0.005596483209476588,0.0002587997367076576
RX17CAT1,0.006987546511032061,0.00025375676427023364
PAYSELF,0.0,0.0002481188565581836
RX16V1C1,0.0031999726106903825,0.0002455933134303708
COMSTAT10,0.014682740633509495,0.0002427908967142287
PRESCR12,0.015565961106211335,0.0002406543969560207
RX15CAT1,0.006959566231247827,0.0002391863765710678
CONTSUB13,0.020216125641963734,0.00023215625749944222
DRUGID14,0.008364563988087381,0.0002313076302628563
MED14,0.006558638708538345,0.00022224632429240554
RX1V3C3,0.0033596688313801693,0.00021886475697213912
DRUGID16,0.006799792206274802,0.00021413190642742747
TRTCX,0.00048058835584652293,0.0002113774923062008
CAUSE3,0.005538718825296884,0.00020573500633396042
MED15,0.015658100066923586,0.00020417066934358955
COMSTAT12,0.019379687138803003,0.00020409800459259133
PRESCR14,0.015953328388029098,0.00019997029268756274
RX16CAT1,0.0044472885845512344,0.00019487215716572977
CONTSUB16,0.006236004065656164,0.0001943276004443357
RX16V2C1,0.006882898518289604,0.00019025147001608213
RX17V2C1,0.006384100357618827,0.0001853598244842938
GPMED15,0.009859112730110864,0.00018511677390700416
COMSTAT15,0.0018327150977985873,0.0001850726993176521
RX14V3C1,0.002247301737007934,0.00018396758969023173
COMSTAT14,0.013002510804408285,0.00017771339208727278
PRESCR15,0.004736974600701105,0.00017401326902193417
DRUGID17,0.00741540424948095,0.0001667187926301347
CONTSUB17,0.0066550934006748275,0.0001660191688940475
COMSTAT16,0.011492131415797635,0.00015350143910754048
MED16,0.00896064360791815,0.00015034463156647258
PRDIAG1,0.0027635770162319773,0.00014971383694860262
PRESCR17,0.004792554092166945,0.00014882532489418653
PRESCR16,0.001869254397508735,0.0001393558583639842
COMSTAT17,0.005910392751651505,0.00012732911725720704
COMSTAT13,0.016493075481707642,0.00012710477224287824
