variable_name,label,pandas_dtype,non_null_count,missing_count,missing_percentage,n_unique,role
CONTSUB18,Controlled substance status code for medication #18,float64,155,15870,99.03,5,general
COMSTAT18,Composition status code for medication #18,float64,155,15870,99.03,3,general
RX18CAT1,"For RX18, MULTUM drug category #1 - most detailed level (can be either Level 1,2 or 3)",str,16025,0,0.0,73,general
RX18CAT2,"For RX18, MULTUM drug category #2 - most detailed level (can be either Level 1,2 or 3)",str,16025,0,0.0,13,general
RX18CAT3,"For RX18, MULTUM drug category #3 - most detailed level (can be either Level 1,2 or 3)",str,16025,0,0.0,3,general
RX18CAT4,"For RX18, MULTUM drug category #4 - most detailed level (can be either Level 1,2 or 3)",str,16025,0,0.0,1,general
RX18V1C1,"For RX18, level 1 of MULTUM drug category #1 (broad level)",str,16025,0,0.0,20,general
RX18V1C2,"For RX18, level 1 of MULTUM drug category #2 (broad level)",str,16025,0,0.0,10,general
RX18V1C3,"For RX18, level 1 of MULTUM drug category #3 (broad level)",str,16025,0,0.0,3,general
RX18V1C4,"For RX18, level 1 of MULTUM drug category #4 (broad level)",str,16025,0,0.0,1,general
RX18V2C1,"For RX18, level 2 of MULTUM drug category #1 (intermediate level)",str,16025,0,0.0,54,general
RX18V2C2,"For RX18, level 2 of MULTUM drug category #2 (intermediate level)",str,16025,0,0.0,12,general
RX18V2C3,"For RX18, level 2 of MULTUM drug category #3 (intermediate level)",str,16025,0,0.0,3,general
RX18V2C4,"For RX18, level 2 of MULTUM drug category #4 (intermediate level)",str,16025,0,0.0,1,general
RX18V3C1,"For RX18, level 3 of MULTUM drug category #1 (detailed level)",str,16025,0,0.0,42,general
RX18V3C2,"For RX18, level 3 of MULTUM drug category #2 (detailed level)",str,16025,0,0.0,9,general
RX18V3C3,"For RX18, level 3 of MULTUM drug category #3 (detailed level)",str,16025,0,0.0,2,general
RX18V3C4,"For RX18, level 3 of MULTUM drug category #4 (detailed level)",str,16025,0,0.0,1,general
DRUGID19,Drug ID code for medication #19,str,16025,0,0.0,91,general
PRESCR19,Prescription status code for medication #19,float64,123,15902,99.23,3,general
CONTSUB19,Controlled substance status code for medication #19,float64,123,15902,99.23,4,general
COMSTAT19,Composition status code for medication #19,float64,123,15902,99.23,2,general
