variable_name,n_unique,missing_count,missing_percentage,top_values,rare_category_count
GPMED8,5,0,0.0,-7.0=14958 (93.3%); 1.0=479 (3.0%); 2.0=443 (2.8%); -9.0=100 (0.6%); 3.0=45 (0.3%),2
GPMED9,5,0,0.0,-7.0=15193 (94.8%); 2.0=358 (2.2%); 1.0=348 (2.2%); -9.0=92 (0.6%); 3.0=34 (0.2%),2
GPMED10,5,0,0.0,-7.0=15379 (96.0%); 2.0=295 (1.8%); 1.0=248 (1.5%); -9.0=86 (0.5%); 3.0=17 (0.1%),2
GPMED11,5,0,0.0,-7.0=15489 (96.7%); 2.0=254 (1.6%); 1.0=194 (1.2%); -9.0=76 (0.5%); 3.0=12 (0.1%),2
GPMED12,5,0,0.0,-7.0=15565 (97.1%); 2.0=219 (1.4%); 1.0=164 (1.0%); -9.0=71 (0.4%); 3.0=6 (0.0%),2
GPMED13,5,0,0.0,-7.0=15638 (97.6%); 2.0=186 (1.2%); 1.0=129 (0.8%); -9.0=64 (0.4%); 3.0=8 (0.0%),3
GPMED14,5,0,0.0,-7.0=15701 (98.0%); 2.0=160 (1.0%); 1.0=104 (0.6%); -9.0=55 (0.3%); 3.0=5 (0.0%),4
GPMED15,5,0,0.0,-7.0=15753 (98.3%); 2.0=138 (0.9%); 1.0=84 (0.5%); -9.0=47 (0.3%); 3.0=3 (0.0%),4
GPMED16,5,0,0.0,-7.0=15801 (98.6%); 2.0=117 (0.7%); 1.0=61 (0.4%); -9.0=41 (0.3%); 3.0=5 (0.0%),4
GPMED17,5,0,0.0,-7.0=15834 (98.8%); 2.0=102 (0.6%); 1.0=53 (0.3%); -9.0=34 (0.2%); 3.0=2 (0.0%),4
GPMED18,5,0,0.0,-7.0=15870 (99.0%); 2.0=83 (0.5%); 1.0=43 (0.3%); -9.0=26 (0.2%); 3.0=3 (0.0%),4
GPMED19,5,0,0.0,-7.0=15902 (99.2%); 2.0=63 (0.4%); 1.0=33 (0.2%); -9.0=23 (0.1%); 3.0=4 (0.0%),4
GPMED20,5,0,0.0,-7.0=15917 (99.3%); 2.0=58 (0.4%); 1.0=32 (0.2%); -9.0=17 (0.1%); 3.0=1 (0.0%),4
GPMED21,4,0,0.0,-7.0=15945 (99.5%); 2.0=44 (0.3%); 1.0=21 (0.1%); -9.0=15 (0.1%),3
GPMED22,4,0,0.0,-7.0=15962 (99.6%); 2.0=38 (0.2%); 1.0=14 (0.1%); -9.0=11 (0.1%),3
GPMED23,5,0,0.0,-7.0=15971 (99.7%); 2.0=31 (0.2%); 1.0=15 (0.1%); -9.0=7 (0.0%); 3.0=1 (0.0%),4
GPMED24,5,0,0.0,-7.0=15988 (99.8%); 2.0=27 (0.2%); 1.0=7 (0.0%); -9.0=2 (0.0%); 3.0=1 (0.0%),4
GPMED25,4,0,0.0,-7.0=15996 (99.8%); 2.0=20 (0.1%); 1.0=6 (0.0%); -9.0=3 (0.0%),3
GPMED26,4,0,0.0,-7.0=16005 (99.9%); 2.0=14 (0.1%); 1.0=5 (0.0%); -9.0=1 (0.0%),3
GPMED27,4,0,0.0,-7.0=16011 (99.9%); 2.0=10 (0.1%); 1.0=3 (0.0%); -9.0=1 (0.0%),3
GPMED28,3,0,0.0,-7.0=16013 (99.9%); 2.0=11 (0.1%); 1.0=1 (0.0%),2
GPMED29,2,0,0.0,-7.0=16020 (100.0%); 2.0=5 (0.0%),1
GPMED30,2,0,0.0,-7.0=16024 (100.0%); 2.0=1 (0.0%),1
VITALSD,3,0,0.0,2.0=8187 (51.1%); 1.0=7372 (46.0%); -9.0=466 (2.9%),0
NOPROVID,2,0,0.0,0.0=15991 (99.8%); 1.0=34 (0.2%),1
ATTPHYS,2,0,0.0,1.0=13502 (84.3%); 0.0=2523 (15.7%),0
RESINT,2,0,0.0,0.0=13245 (82.7%); 1.0=2780 (17.3%),0
CONSULT,2,0,0.0,0.0=13709 (85.5%); 1.0=2316 (14.5%),0
RNLPN,2,0,0.0,1.0=14589 (91.0%); 0.0=1436 (9.0%),0
NURSEPR,2,0,0.0,0.0=14579 (91.0%); 1.0=1446 (9.0%),0
PHYSASST,2,0,0.0,0.0=13456 (84.0%); 1.0=2569 (16.0%),0
EMT,2,0,0.0,0.0=14511 (90.6%); 1.0=1514 (9.4%),0
MHPROV,2,0,0.0,0.0=15551 (97.0%); 1.0=474 (3.0%),0
OTHPROV,2,0,0.0,0.0=9798 (61.1%); 1.0=6227 (38.9%),0
NODISP,2,0,0.0,0.0=15919 (99.3%); 1.0=106 (0.7%),1
NOFU,2,0,0.0,0.0=14823 (92.5%); 1.0=1202 (7.5%),0
RETRNED,2,0,0.0,0.0=13963 (87.1%); 1.0=2062 (12.9%),0
RETREFFU,2,0,0.0,1.0=10824 (67.5%); 0.0=5201 (32.5%),0
LWBS,2,0,0.0,0.0=15698 (98.0%); 1.0=327 (2.0%),0
LBTC,2,0,0.0,0.0=15804 (98.6%); 1.0=221 (1.4%),0
LEFTAMA,2,0,0.0,0.0=15797 (98.6%); 1.0=228 (1.4%),0
DOA,2,0,0.0,0.0=16016 (99.9%); 1.0=9 (0.1%),1
DIEDED,2,0,0.0,0.0=15992 (99.8%); 1.0=33 (0.2%),1
TRANNH,2,0,0.0,0.0=15924 (99.4%); 1.0=101 (0.6%),1
TRANPSYC,2,0,0.0,0.0=15875 (99.1%); 1.0=150 (0.9%),1
TRANOTH,2,0,0.0,0.0=15819 (98.7%); 1.0=206 (1.3%),0
ADMITHOS,2,0,0.0,0.0=13904 (86.8%); 1.0=2121 (13.2%),0
OBSHOS,2,0,0.0,0.0=15848 (98.9%); 1.0=177 (1.1%),0
OBSDIS,2,0,0.0,0.0=15811 (98.7%); 1.0=214 (1.3%),0
