,WAITTIME,LOV,AGE,AGEDAYS,TEMPF,PULSE,RESPR,BPSYS,BPDIAS,POPCT,RFV1,RFV2,RFV3,RFV4,RFV5,RFV13D,RFV23D,RFV33D,RFV43D,RFV53D,TOTDIAG,NUMGIV,NUMDIS,NUMMED,TEMPDF,PULSED,RESPRD,BPSYSD,BPDIASD,LOS,OBSSTAY,HOSPCODE,PATCODE,CPSUM,PATWT,EDWT,BOARDED
TOTDIAG,0.0427236195355511,0.27480316579185277,0.3326225591511294,-0.0784210177140929,0.11692644269624657,-0.008220663471554349,0.08152367883698534,0.24247659342952346,0.20294804078651765,0.1467458971427955,-0.17449344251232846,0.03540332626853291,0.10296672898690708,0.1130104825965881,0.09968541743503984,-0.17449373110179586,0.03536198409774197,0.10293149335074232,0.11298073880777677,0.09966315344895893,1.0,0.425977178844599,-0.010162505571890476,0.31292763416226765,0.18784287555540552,0.27863752961849125,0.2882707716437819,0.35162836765992156,0.34459252694496356,0.35209166259392666,0.07516006178303813,0.01947733226109878,-0.03735641200275946,0.07112534540408488,-0.003680106306212762,-0.232777217292154,0.14260488565579563
NUMGIV,0.035274867043735544,0.2668721307630778,0.1744076944595743,-0.056673515357456926,0.03964367154997498,-0.007140146419366217,0.04330316746520065,0.13771807615785492,0.12010758460399275,0.06334468049082577,-0.055604592033819865,0.037437357283638104,0.056713685935280096,0.07160441648637883,0.06684450255228026,-0.05560439083071519,0.037419159288647384,0.05669624074314151,0.07158806009242709,0.06683024695193945,0.425977178844599,1.0,0.04966857736562193,0.7051719021305406,0.17618068553337018,0.24493316209015328,0.2428831512660574,0.2851020597513889,0.2807046311078014,0.30695587650143996,0.09213287137954108,-0.033979182675993175,-0.0020472946205729184,0.023062026569046535,0.005831664434352471,-0.21157164718412957,0.15812606971936483
NUMDIS,0.020121674956348937,0.058329645197255586,0.06452906600320854,-0.022181044617574825,0.01485418477115546,-0.012275980006102053,0.017760135382439236,0.06307223740826678,0.055812125041921755,0.049144581884378105,-0.05214941117463209,0.024901194513802124,0.03934267256709572,0.05524558152334101,0.06788042157633822,-0.05215083282693132,0.02489070661697055,0.039331850157561604,0.055237415981656976,0.06787286976620452,-0.010162505571890476,0.04966857736562193,1.0,0.6366087423766074,0.05563514593987803,0.02305641885103411,0.03624010561794566,0.056404304921436575,0.05641891623086984,-0.025366199096038964,0.020303927647068114,-0.0567865661161239,0.016477397551526666,-0.046905430007006546,0.004233713504224232,0.1086279312051415,0.022447973299903036
NUMMED,0.03403304250414095,0.21964675548645501,0.20016656287154594,-0.061718071406260656,0.028799068485118748,-0.024465653619865087,0.02985514406758552,0.14846775253284317,0.12562538740919169,0.06918119871000133,-0.0701691590093557,0.03716493246044695,0.05356102692542259,0.07634029384343295,0.08430988805535841,-0.07016983964313514,0.03714801345805432,0.05354394912879212,0.07632556154976111,0.08429615649905149,0.31292763416226765,0.7051719021305406,0.6366087423766074,1.0,0.14468067297524076,0.18133867411430418,0.18636722226288446,0.2364793420414076,0.23227206996567856,0.2254822482380755,0.07874742479020852,-0.0370032017099687,0.01421087393897666,0.007815244368200169,-0.013447236583145008,-0.09111544172121668,0.12812514713633166
TEMPDF,0.01987403124059696,0.14069657034028232,0.03338114669052043,-0.0008149212709947626,0.10611872679456612,0.007537940354837404,0.08513773768047975,0.07786988384404127,0.06699982336647378,0.1186276968226271,-0.035757918016913734,0.06502459330034245,0.08658957598324214,0.10043710807378867,0.07294056680121112,-0.03575758623526799,0.06500125719454944,0.08656637075735643,0.1004227185592146,0.07292731966003989,0.18784287555540552,0.17618068553337018,0.05563514593987803,0.14468067297524076,1.0,0.655482023110044,0.671699421224872,0.6174380560615642,0.621871268603025,0.07025035631990081,0.033035162908077044,0.037996743869560284,0.02770343960504819,0.111681204324067,0.0014963473142987837,-0.08889382140519095,0.07098890328155999
PULSED,0.03057323937571212,0.13472365651849108,0.0601525483522394,0.009990411061827756,0.10635454620096756,0.05733563048793955,0.11863419395546859,0.09466445233593078,0.07986824341665451,0.15019202457406,-0.062262918851498664,0.0779986545481782,0.09698550714880871,0.10502551443038674,0.09298337623047663,-0.06226177912370845,0.07797037142816372,0.0969584920805622,0.10500475380795196,0.09296952482213462,0.27863752961849125,0.24493316209015328,0.02305641885103411,0.18133867411430418,0.655482023110044,1.0,0.8398185536028253,0.763863600226782,0.7714747922264557,0.11869208341698827,0.03738024767381769,-0.0033788918838580585,0.017944578720487794,0.07513829364492851,0.002839818800352448,-0.11653606144121911,0.07452238671672012
RESPRD,0.032647520887835554,0.13620051746096837,0.08724492112976737,0.004897167148182836,0.10483255285704314,0.0063543215615313575,0.13181229322213522,0.10864479095919252,0.0828645898265884,0.14790175168903344,-0.06408407095570604,0.08288124610979179,0.10847911327310981,0.12448418874271874,0.10150689716772776,-0.06408365741712453,0.08285134206204908,0.10845122992920957,0.1244636119622144,0.10149243442416675,0.2882707716437819,0.2428831512660574,0.03624010561794566,0.18636722226288446,0.671699421224872,0.8398185536028253,1.0,0.7668290333382677,0.7663615957918154,0.11030785843721028,0.038029019791563166,-0.008468498361547203,0.015711516195469524,0.07637665269410457,0.02454103691095254,-0.14533741046792928,0.07516801229034692
BPSYSD,0.029268053091233853,0.16209167819721307,0.27445780968880845,-0.10075552925686107,0.10051894660538814,-0.04170896880499837,0.01889782572176986,0.3136071993924303,0.25926926541742784,0.15858510614843163,-0.04897293347048017,0.10295766491044336,0.12675653651150723,0.14265815930111572,0.12856380805408713,-0.048975115104325895,0.10292965012246452,0.12673053121536929,0.14263675776596652,0.12854670949447208,0.35162836765992156,0.2851020597513889,0.056404304921436575,0.2364793420414076,0.6174380560615642,0.763863600226782,0.7668290333382677,1.0,0.9815636652808045,0.1332862238297345,0.04069185050434465,0.010687826439632899,-0.0061777146610994755,0.05686117845454763,0.03410443062698728,-0.15962455892360622,0.08806717530531581
BPDIASD,0.03250081469494698,0.15642625752683992,0.23698299715371207,-0.10044912830997414,0.09975259937420104,-0.03445073180059012,0.02037195155301032,0.2932696912602762,0.26747543904612386,0.15791373060434016,-0.05095189667718444,0.10158869085557554,0.12794267475287327,0.14052026881335028,0.12739066038802865,-0.050954016465895126,0.10156032927230135,0.1279160893268296,0.14049821409898966,0.1273728620031253,0.34459252694496356,0.2807046311078014,0.05641891623086984,0.23227206996567856,0.621871268603025,0.7714747922264557,0.7663615957918154,0.9815636652808045,1.0,0.12655599669262116,0.03880900513054617,0.014330631370102959,-0.00563394904383668,0.06057847122214392,0.03017390226032976,-0.15535956926561048,0.08325695210548031
LOS,-0.00250012653189648,0.21805781136969127,0.2264804310887384,-0.03131141046085294,-0.006849270697855455,-0.0033562023293049405,0.03006242680588998,0.061847892738546045,0.04233538290173246,0.0016174266374929702,-0.014394304380735069,0.017562374813746846,0.022053977756259613,0.040778132267842375,0.037759352460835366,-0.014392691716988024,0.01755761127975651,0.022047925015653103,0.04077234635694572,0.03775309355745948,0.35209166259392666,0.30695587650143996,-0.025366199096038964,0.2254822482380755,0.07025035631990081,0.11869208341698827,0.11030785843721028,0.1332862238297345,0.12655599669262116,1.0,0.04279667644412165,-0.005265548159069772,-1.9797894934936864e-05,0.08522247362519822,-0.042933431947410235,-0.1556917804200363,0.26111758653461614
OBSSTAY,0.01509542701461178,0.22177366109983626,0.047696016394116275,0.008353526841818183,-0.0013762310201320444,-0.006822014797598444,-0.0012999835667215852,0.016716627925937415,0.006375386078689322,-0.006197686166931969,-0.02247177865913051,0.007448969416920641,0.006205505547617153,0.02490821225982706,0.006796139371771688,-0.022471060674548776,0.007445804778429566,0.006205139112717981,0.024910593190291045,0.006793009828231754,0.07516006178303813,0.09213287137954108,0.020303927647068114,0.07874742479020852,0.033035162908077044,0.03738024767381769,0.038029019791563166,0.04069185050434465,0.03880900513054617,0.04279667644412165,1.0,-0.014903980216604155,0.0066752131676920436,0.02100526093119984,-0.005236236040387603,-0.10364695269308598,-0.001543100150246592
HOSPCODE,-0.0342766705779939,0.0014856078879746791,-0.009050616253192164,-0.01176737895787098,0.01102681374358312,0.05178856046972017,-0.012561537458951213,0.015479388399163817,0.029310515347076415,0.03189595793876195,0.009608080897242114,0.014518592583592843,0.0030615807300175147,0.0011551173260633517,-0.002482053413560978,0.009607175683471657,0.014517613748029748,0.0030645488329421318,0.0011595919806671943,-0.0024807658821824254,0.01947733226109878,-0.033979182675993175,-0.0567865661161239,-0.0370032017099687,0.037996743869560284,-0.0033788918838580585,-0.008468498361547203,0.010687826439632899,0.014330631370102959,-0.005265548159069772,-0.014903980216604155,1.0,-0.02210380357169207,0.1460220588338525,0.1430780043246793,-0.017974670491667757,0.0006658274451128956
PATCODE,-0.001892047674731048,0.003133600865070845,-0.08615022689290662,0.026900831308362537,-0.0007149789934698552,-0.06132337203399618,0.016507299389832666,-0.05780805836241971,-0.05168666450605936,-0.013955083530319,0.01643516759311041,-0.002347709542249672,0.009241846814939775,0.002041232285707929,0.009815101117518495,0.016436488747208374,-0.0023425121786491286,0.009244263949349945,0.002042954663044602,0.00981724643362745,-0.03735641200275946,-0.0020472946205729184,0.016477397551526666,0.01421087393897666,0.02770343960504819,0.017944578720487794,0.015711516195469524,-0.0061777146610994755,-0.00563394904383668,-1.9797894934936864e-05,0.0066752131676920436,-0.02210380357169207,1.0,0.1298281262653955,-0.19506214470849303,,0.009969340650594993
CPSUM,-0.04910479483528314,0.1136654477502842,-0.06880750334639651,0.029721131318582943,0.03889414221576258,-0.020624114595090563,0.05143595787593733,-0.032504479638981204,-0.02148956326035686,0.0451755009627792,0.009881709710097723,0.016714117454166323,0.03192795716231444,0.025839776588371683,0.029064891975790003,0.009881912151385357,0.01670975466120499,0.03192152339663436,0.0258332697061624,0.029060075189817,0.07112534540408488,0.023062026569046535,-0.046905430007006546,0.007815244368200169,0.111681204324067,0.07513829364492851,0.07637665269410457,0.05686117845454763,0.06057847122214392,0.08522247362519822,0.02100526093119984,0.1460220588338525,0.1298281262653955,1.0,-0.23452162342563304,-0.43742902069934747,0.01751242529228008
PATWT,0.05088942246867787,-0.037681602874307156,0.02914175363449,-0.01943203061213493,0.024136355539502687,-0.012180425709841328,0.000581946672889278,0.027683029837715287,0.01848686756200972,-0.019863848697713665,-0.012608777452766952,0.001838962252154648,0.006158562308272342,0.020858631685126378,0.00035541674767443576,-0.012609887830384069,0.001834950104396194,0.0061534326881940386,0.020856294529946105,0.00035261320166081114,-0.003680106306212762,0.005831664434352471,0.004233713504224232,-0.013447236583145008,0.0014963473142987837,0.002839818800352448,0.02454103691095254,0.03410443062698728,0.03017390226032976,-0.042933431947410235,-0.005236236040387603,0.1430780043246793,-0.19506214470849303,-0.23452162342563304,1.0,0.20538720038487354,-0.015986160654405383
EDWT,0.08411012058506191,-0.1967426626166744,0.041361974206758766,0.04344601891975903,-0.038784443714260396,0.28777763985527316,-0.017535669431615455,0.01042137339323806,0.020467637655672527,-0.25718245521802574,-0.014749094455761006,-0.12835230291769997,-0.13346702766198795,-0.04305202423141096,-0.07160639875539385,-0.014749153127429127,-0.12831922081500444,-0.13345105026726006,-0.043032172560052775,-0.07158888834209805,-0.232777217292154,-0.21157164718412957,0.1086279312051415,-0.09111544172121668,-0.08889382140519095,-0.11653606144121911,-0.14533741046792928,-0.15962455892360622,-0.15535956926561048,-0.1556917804200363,-0.10364695269308598,-0.017974670491667757,,-0.43742902069934747,0.20538720038487354,1.0,-0.04427564609264278
BOARDED,0.02284531515633967,0.4065683162532856,0.07182796622873802,-0.011551628550233619,-0.006137159964229582,-0.0009581103707797154,0.018206519783035172,0.025683159911670923,0.020595839515811586,0.016486959766726417,-0.007721829174501677,0.01878541948776064,0.027861732862978626,0.030643241636637137,0.028946958481995886,-0.007721618513931016,0.01877989114399937,0.027855340606250507,0.030637019487895312,0.028941361741097366,0.14260488565579563,0.15812606971936483,0.022447973299903036,0.12812514713633166,0.07098890328155999,0.07452238671672012,0.07516801229034692,0.08806717530531581,0.08325695210548031,0.26111758653461614,-0.001543100150246592,0.0006658274451128956,0.009969340650594993,0.01751242529228008,-0.015986160654405383,-0.04427564609264278,1.0
